Frequency,RelativeResponse
10,0
10.18,-0.01
11.2,-0.03
12.32,-0.05
13.56,-0.09
14.92,-0.12
16.42,-0.16
18.07,-0.2
19.89,-0.25
21.89,-0.3
24.3,-0.36
26.74,-0.4
29.42,-0.43
32.66,-0.43
35.94,-0.41
39.55,-0.34
43.53,-0.22
47.9,-0.09
49.6,-0.05
50.03,-0.04
50.47,-0.04
50.91,-0.03
54.11,-0.08
58.01,-0.54
60.06,-1.06
62.74,-2.1
64.96,-3.3
68.44,-6.27
72.74,-10.39
78.67,-15.96
92.81,-29.92
93.62,-30.78
101.25,-39.21
102.14,-40.27
109.5,-50.2
114.37,-54.8
128.07,-49.19
143.41,-49.92
163.41,-54.5
182.99,-61.53
206.7,-70.37
229.45,-61.69
261.45,-57.75
290.23,-56.43
322.18,-55.81
322.18,-55.81
